,Keyword,Difficulty,Volume,CPC,Clicks,CPS,Return Rate,Parent Keyword,Last Update,SERP Features,Stemmed Keyword
0,hubspot,67.0,63000.0,5.0,59708.0,0.95,2.34,hubspot,2020-05-09 00:57:01,"Adwords top, Sitelinks, Top stories, Thumbnails, People also ask, Tweet box, Image pack",hubspot 
1,content meaning,45.0,4400.0,17.0,622.0,0.14,1.18,content,2020-05-10 06:32:24,"Knowledge card, People also ask, Top stories, Thumbnails",content mean 
2,hub spot,53.0,2600.0,7.0,1820.0,0.71,1.37,hubspot,2020-05-05 05:59:21,"Adwords top, Sitelinks, Top stories, Thumbnails, People also ask, Tweet box",hub spot 
3,climb online,3.0,1300.0,0.0,1228.0,0.95,1.2,climb online,2020-05-04 21:52:16,"Sitelinks, Top stories, Thumbnails",climb onlin 
4,company meaning,55.0,1200.0,0.0,158.0,0.13,1.11,مؤسسة,2020-05-08 16:52:22,"Knowledge card, People also ask, Sitelinks, Top stories, Thumbnails",compani mean 
5,digital marketing strategy,65.0,1200.0,9.0,1112.0,0.96,1.36,digital marketing strategy,2020-05-08 20:21:50,"Featured snippet, Thumbnails, People also ask, Sitelinks, Top stories, Adwords bottom",digit market strategi 
6,more definition,22.0,600.0,0.0,79.0,0.14,1.15,more,2020-05-09 16:34:04,"Knowledge card, Sitelinks, People also ask",more definit 
7,digital definition,34.0,500.0,1.9,89.0,0.18,1.06,digital,2020-05-09 07:11:07,"Knowledge card, People also ask, Top stories, Thumbnails",digit definit 
8,detailed online,0.0,450.0,,391.0,0.91,1.62,detailed online,2020-05-03 13:55:48,"Sitelinks, Top stories, Thumbnails",detail onlin 
9,digital technology definition,12.0,350.0,1.4,207.0,0.57,1.11,digital technology,2020-04-23 10:34:31,"Featured snippet, People also ask, Top stories, Thumbnails",digit technolog definit 
10,define numerous,21.0,300.0,0.0,17.0,0.06,1.16,numerous,2020-05-01 19:04:37,"Knowledge card, People also ask, Top stories, Thumbnails",defin numer 
11,online media,22.0,300.0,1.2,92.0,0.33,1.13,digital media,2020-04-26 07:13:11,"Sitelinks, People also ask, Top stories, Thumbnails",onlin media 
12,hibspot,67.0,300.0,2.0,265.0,0.82,1.7,hubspot,2020-04-28 19:35:38,"Adwords top, Sitelinks, Top stories, Thumbnails, People also ask, Tweet box, Image pack",hibspot 
13,www coast co uk,4.0,300.0,0.35,,,,coast,2020-04-16 15:46:51,Sitelinks,www coast co uk 
14,digital marketing specialist,1.0,250.0,5.0,125.0,0.53,1.14,digital marketing specialist,2020-04-17 06:52:02,"Adwords top, Sitelinks, People also ask, Adwords bottom",digit market specialist 
15,discuss the market,52.0,250.0,6.0,,,,discuss the market,2020-04-25 21:11:47,"Sitelinks, Top stories, Thumbnails",discuss the market 
16,hubsport,63.0,250.0,3.0,158.0,0.69,1.06,hubspot,2020-04-21 05:01:09,"Sitelinks, Top stories, Thumbnails, People also ask, Tweet box, Image pack",hubsport 
17,digital marketing agency near me,59.0,250.0,12.0,134.0,0.51,1.27,digital marketing agency,2020-05-07 19:24:04,,digit market agenc near me 
18,marketing companies near me,22.0,250.0,5.0,456.0,1.88,1.49,digital marketing agency london,2020-04-24 22:54:04,"Adwords top, Sitelinks, Adwords bottom",market compani near me 
19,internet marketing service,39.0,200.0,4.0,,,,digital marketing services,2020-04-14 02:30:47,"People also ask, Sitelinks",internet market servic 
20,regardless marketing,0.0,200.0,,211.0,1.04,1.5,regardless marketing,2020-05-04 07:36:25,,regardless market 
21,coast online,2.0,200.0,0.15,190.0,0.86,1.69,coast,2020-05-01 16:30:44,Sitelinks,coast onlin 
22,can definition,19.0,200.0,0.0,28.0,0.14,1.09,can,2020-05-01 08:25:22,"Knowledge card, Sitelinks, People also ask",can definit 
23,email meaning,29.0,200.0,0.35,23.0,0.12,1.14,definition of email,2020-05-02 09:05:41,"Knowledge card, People also ask, Sitelinks, Top stories, Thumbnails",email mean 
24,coast london,7.0,200.0,0.8,152.0,0.75,1.13,coast,2020-04-26 13:01:23,"Sitelinks, People also ask, Image pack",coast london 
25,coasr,42.0,150.0,0.25,89.0,0.55,1.1,coast,2020-04-29 23:11:46,"Sitelinks, People also ask, Top stories, Thumbnails",coasr 
26,coadt,43.0,150.0,0.15,111.0,0.75,1.07,coast,2020-05-01 03:16:24,Sitelinks,coadt 
27,define all,23.0,150.0,0.0,26.0,0.16,1.26,all,2020-04-28 09:46:15,"Knowledge card, Sitelinks, People also ask, Top stories, Thumbnails",defin all 
28,whats more,0.0,150.0,0.0,41.0,0.28,1.1,what's more,2020-04-26 16:57:16,"Knowledge card, People also ask, Top stories, Thumbnails",what more 
29,post meaning after,37.0,150.0,0.0,34.0,0.21,1.2,post,2020-05-01 14:52:01,"Featured snippet, People also ask, Videos",post mean after 
30,the who .com,77.0,150.0,1.3,,,,the who,2020-04-19 21:42:36,"Sitelinks, Top stories, Thumbnails",the who .com 
31,what's the time today,68.0,150.0,0.0,,,,time,2020-04-19 05:39:57,"Knowledge card, Sitelinks, People also ask",what 's the time today 
32,full fat pr,0.0,150.0,0.0,184.0,1.17,1.3,full fat,2020-04-30 15:45:29,"Sitelinks, Top stories, Thumbnails, Videos",full fat pr 
33,digital promotion,6.0,150.0,2.5,109.0,0.69,1.25,digital promotion,2020-05-08 23:54:42,"Featured snippet, People also ask, Videos",digit promot 
34,digital marketing examples,35.0,150.0,4.5,141.0,0.87,1.13,digital marketing,2020-04-25 11:17:09,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask",digit market exampl 
35,garish definition,9.0,150.0,0.0,28.0,0.17,1.1,garish,2020-05-04 01:27:31,"Knowledge card, People also ask, Videos",garish definit 
36,info meaning,4.0,150.0,0.0,54.0,0.32,1.11,info meaning,2020-04-28 02:17:15,"Knowledge card, People also ask, Videos",info mean 
37,who is website,95.0,150.0,0.8,202.0,1.25,1.12,whois,2020-04-22 17:23:17,Sitelinks,who is websit 
38,online marketing strategies,56.0,150.0,7.0,109.0,0.71,1.62,online marketing,2020-04-27 14:54:17,"Featured snippet, Thumbnails, People also ask, Top stories, Image pack",onlin market strategi 
39,who's definition,2.0,150.0,,21.0,0.15,1.13,who 's,2020-04-27 02:58:15,"Knowledge card, People also ask",who 's definit 
40,advertising agencies near me,32.0,150.0,4.0,,,,advertising agencies near me,2020-05-08 16:46:06,People also ask,advertis agenc near me 
41,digital media companies,25.0,150.0,4.0,162.0,1.23,1.43,american internet and media company,2020-04-29 08:37:33,"Featured snippet, People also ask",digit media compani 
42,whowhatwhy,17.0,150.0,0.0,,,,whowhatwhy,2020-04-25 19:07:23,"Sitelinks, Tweet box, Top stories, Thumbnails, Image pack, Videos",whowhatwhi 
43,website meaning,49.0,150.0,1.1,18.0,0.14,1.08,website - definition,2020-04-25 14:15:39,"Knowledge card, People also ask, Sitelinks",websit mean 
44,content marketing agency london,36.0,150.0,16.0,,,,content marketing agency,2020-04-30 01:56:51,"Featured snippet, Sitelinks",content market agenc london 
45,what is digital advertising,12.0,100.0,1.8,99.0,1.0,1.29,what is digital advertising,2020-05-08 01:19:59,"People also ask, Sitelinks, Top stories, Thumbnails",what is digit advertis 
46,definition of digital marketing,66.0,100.0,0.0,102.0,0.97,1.35,digital marketing,2020-04-21 08:06:04,"Sitelinks, People also ask, Top stories, Thumbnails",definit of digit market 
47,what does comprise mean,14.0,100.0,0.0,7.0,0.06,1.1,comprise,2020-04-23 01:17:28,"Knowledge card, People also ask, Top stories, Thumbnails",what doe compris mean 
48,hubspot marketing blog,79.0,100.0,0.0,,,,marketing blog,2020-04-17 04:19:42,"Sitelinks, Image pack",hubspot market blog 
49,ppc online,71.0,100.0,13.0,72.0,0.64,1.19,nhs prepayment card,2020-04-28 12:36:43,"People also ask, Top stories, Thumbnails",ppc onlin 
50,meaning of create,15.0,100.0,,,,,create,2020-05-03 07:08:20,"Knowledge card, People also ask",mean of creat 
51,like digital,1.0,100.0,,86.0,0.83,1.32,like digital,2020-05-06 07:16:55,"Sitelinks, Image pack, Top stories, Thumbnails",like digit 
52,online marketing strategy,62.0,100.0,6.0,,,,strategy internet marketing,2020-04-18 10:01:05,"Adwords top, Sitelinks, Featured snippet, People also ask, Top stories, Thumbnails, Image pack",onlin market strategi 
53,define services,13.0,100.0,,,,,service's,2020-05-05 23:20:15,"Knowledge card, People also ask, Sitelinks, Top stories, Thumbnails",defin servic 
54,digital marketing platforms,73.0,100.0,5.0,98.0,0.81,1.17,digital marketing platforms,2020-05-04 01:48:16,"Featured snippet, Thumbnails, People also ask, Sitelinks",digit market platform 
55,social media advertising agency,7.0,100.0,13.0,,,,social media advertising,2020-05-08 20:20:04,"Adwords top, Sitelinks, Adwords bottom",social media advertis agenc 
56,importance of digital marketing,40.0,100.0,4.5,100.0,0.86,1.17,role of digital marketing,2020-04-24 13:52:05,"Adwords top, Featured snippet, Thumbnails, People also ask",import of digit market 
57,caost,42.0,100.0,0.2,89.0,0.75,1.14,coast,2020-04-20 13:12:03,"Sitelinks, People also ask, Image pack, Top stories, Thumbnails",caost 
58,top digital marketing agencies london,22.0,100.0,14.0,211.0,1.74,1.29,digital marketing agency,2020-05-04 19:50:10,,top digit market agenc london 
59,web marketing services,23.0,100.0,7.0,,,,web marketing services,2020-04-17 15:02:19,"Adwords top, Sitelinks, People also ask, Adwords bottom",web market servic 
60,define in fact,3.0,100.0,,,,,infact,2020-04-18 10:56:19,"Knowledge card, People also ask",defin in fact 
61,what does according mean,5.0,100.0,0.0,22.0,0.19,1.13,according,2020-04-25 04:31:14,"Knowledge card, People also ask, Videos",what doe accord mean 
62,online marketing agency london,45.0,100.0,10.0,,,,digital marketing agency,2020-05-04 17:49:12,Sitelinks,onlin market agenc london 
63,internet marketing strategies,57.0,100.0,8.0,,,,internet marketing,2020-05-01 23:13:32,"Featured snippet, Thumbnails, People also ask, Top stories",internet market strategi 
64,trends definition in business,17.0,100.0,,,,,trends definition in business,2020-05-09 00:34:19,"Featured snippet, Thumbnails, People also ask, Videos",trend definit in busi 
65,define including,22.0,100.0,0.0,18.0,0.15,1.17,including,2020-04-25 20:36:21,"Knowledge card, People also ask, Sitelinks",defin includ 
66,define an english person,2.0,100.0,0.0,,,,define an english person,2020-05-05 01:37:11,,defin an english person 
67,hubstop,67.0,100.0,,,,,hubspot,2020-05-09 12:25:10,"Adwords top, Sitelinks, Top stories, Thumbnails, People also ask, Tweet box, Image pack",hubstop 
68,who what why,20.0,100.0,,64.0,0.54,1.0,5 ws,2020-04-22 17:39:50,"Sitelinks, People also ask, Videos, Tweet box, Image pack",who what whi 
69,marketing concept definition,19.0,100.0,1.6,,,,marketing concept,2020-04-25 13:00:23,"Featured snippet, Thumbnails, People also ask, Top stories",market concept definit 
70,what is a digital agency,11.0,100.0,8.0,52.0,0.43,1.07,what is a digital agency,2020-04-23 13:46:44,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask, Top stories",what is a digit agenc 
71,lucy definition,3.0,100.0,,,,,lucy definition,2020-04-15 18:16:50,"People also ask, Top stories, Thumbnails",luci definit 
72,coast website,61.0,90.0,0.2,,,,coast,2020-04-24 21:14:24,Sitelinks,coast websit 
73,lucy alexander age,4.0,90.0,,,,,lucy alexander,2020-04-26 20:37:18,"People also ask, Sitelinks",luci alexand age 
74,digital marketing strategies,64.0,90.0,12.0,107.0,1.19,1.13,marketing strategy,2020-04-17 11:58:50,"Featured snippet, Thumbnails, People also ask, Top stories",digit market strategi 
75,what does a digital marketer do,17.0,90.0,,,,,digital marketing,2020-04-15 14:45:05,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask, Top stories",what doe a digit market do 
76,define encompasses,9.0,90.0,0.0,9.0,0.1,1.15,encompass,2020-04-26 10:25:26,"Knowledge card, People also ask",defin encompass 
77,digital media agency london,51.0,90.0,9.0,,,,digital marketing agency,2020-04-21 23:30:45,,digit media agenc london 
78,essex digital awards,0.0,90.0,1.4,,,,essex digital awards,2020-04-23 12:35:02,Image pack,essex digit award 
79,get on with it meaning,0.0,90.0,0.0,,,,get on with it,2020-05-07 12:38:23,"Featured snippet, People also ask, Videos",get on with it mean 
80,what does comprised mean,22.0,90.0,0.0,,,,comprised,2020-04-21 05:24:47,"Knowledge card, People also ask",what doe compris mean 
81,edigital research,2.0,90.0,,,,,edigital research,2020-04-24 14:26:15,Sitelinks,edigit research 
82,social media marketing agency london,24.0,90.0,11.0,149.0,1.6,1.19,social media marketing agency,2020-04-16 19:45:03,"Adwords top, Sitelinks, Featured snippet, Adwords bottom",social media market agenc london 
83,define digital media,13.0,90.0,0.0,,,,digital media,2020-05-03 03:27:41,"Sitelinks, People also ask, Top stories, Thumbnails",defin digit media 
84,internet marketing services,34.0,90.0,14.0,,,,digital marketing services,2020-04-19 15:12:27,People also ask,internet market servic 
85,make it up to you meaning,0.0,90.0,0.0,22.0,0.24,1.21,make it up to you,2020-05-07 08:29:24,"Featured snippet, People also ask, Videos",make it up to you mean 
86,what is digital marketing strategy,33.0,80.0,4.0,56.0,0.65,1.05,digital marketing strategy,2020-04-14 11:23:40,"Featured snippet, Thumbnails, People also ask, Sitelinks, Top stories, Image pack",what is digit market strategi 
87,online definition,16.0,80.0,0.0,11.0,0.14,1.11,online,2020-04-30 12:33:37,"Knowledge card, People also ask, Sitelinks",onlin definit 
88,what is digital content,5.0,80.0,0.0,,,,what is digital content,2020-05-07 14:49:11,"People also ask, Sitelinks, Top stories, Thumbnails",what is digit content 
89,climb marketing,0.0,80.0,,,,,climb online,2020-04-17 00:31:31,"Sitelinks, Top stories, Thumbnails, Image pack",climb market 
90,email marketing agency london,8.0,80.0,15.0,,,,marketing email,2020-04-26 23:44:02,Featured snippet,email market agenc london 
91,digital platform definition,11.0,80.0,8.0,,,,digital platform definition,2020-04-16 09:04:48,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask",digit platform definit 
92,w hat,80.0,80.0,,,,,what,2020-04-19 18:20:11,"Image pack, Top stories, Thumbnails, Sitelinks, Shopping results",w hat 
93,digitales,42.0,80.0,,,,,digitales,2020-05-02 05:12:22,Sitelinks,digital 
94,digital marketing life cycle,0.0,80.0,15.0,,,,digital marketing life cycle,2020-04-14 13:04:01,"Featured snippet, Thumbnails, People also ask, Image pack, Videos, Top stories",digit market life cycl 
95,digital marketing agency essex,55.0,80.0,9.0,,,,absolute digital media,2020-04-16 06:52:01,"Adwords top, Sitelinks, Adwords bottom",digit market agenc essex 
96,best internet marketing company,45.0,80.0,,,,,best internet marketing company,2020-04-17 14:27:17,"Sitelinks, People also ask",best internet market compani 
97,business to business definition,51.0,70.0,0.0,,,,b2b,2020-04-21 04:22:37,"People also ask, Top stories, Thumbnails",busi to busi definit 
98,why digital marketing is important,43.0,70.0,1.3,,,,role of digital marketing,2020-05-10 12:35:02,"Featured snippet, Thumbnails, People also ask",whi digit market is import 
99,form digital,0.0,70.0,0.06,,,,form digital,2020-04-17 02:54:52,"Sitelinks, Image pack, Top stories, Thumbnails",form digit 
100,what is the marketing concept,24.0,70.0,0.0,,,,marketing concept,2020-04-18 13:10:15,"Featured snippet, Thumbnails, People also ask, Top stories, Image pack",what is the market concept 
101,online marketing definition,72.0,70.0,4.5,,,,online marketing,2020-05-02 07:22:00,"People also ask, Top stories, Thumbnails",onlin market definit 
102,social media marketing examples,58.0,70.0,5.0,,,,social media strategy example,2020-04-17 14:41:42,"Featured snippet, Thumbnails, People also ask",social media market exampl 
103,digital devices online,1.0,70.0,0.0,,,,digital devices,2020-04-24 17:46:48,"Sitelinks, Top stories, Thumbnails",digit devic onlin 
104,define digital technology,12.0,70.0,0.0,,,,digital technology,2020-04-14 21:02:17,"Featured snippet, People also ask",defin digit technolog 
105,impressions digital marketing,23.0,70.0,14.0,,,,digital marketing agency,2020-04-16 08:59:23,"Sitelinks, People also ask, Top stories, Thumbnails",impress digit market 
106,search social media by email,36.0,70.0,0.6,,,,username search,2020-04-15 22:39:32,"Adwords top, Featured snippet, Thumbnails, People also ask",search social media by email 
107,full service marketing agency,8.0,70.0,8.0,,,,full service agency,2020-04-20 03:06:45,People also ask,full servic market agenc 
108,define increasing,26.0,70.0,,,,,increase,2020-04-19 07:05:47,"Knowledge card, People also ask, Top stories, Thumbnails",defin increas 
109,performance marketing agency,48.0,70.0,7.0,,,,digital marketing agency,2020-05-08 03:10:38,Sitelinks,perform market agenc 
110,online services definition,1.0,70.0,0.0,,,,what is online services,2020-05-09 06:29:57,People also ask,onlin servic definit 
111,how to do online marketing,68.0,60.0,3.5,,,,online marketing,2020-04-17 01:06:15,"Adwords top, Sitelinks, Featured snippet, People also ask, Top stories, Thumbnails",how to do onlin market 
112,digital.co.uk,35.0,60.0,,,,,digital.co.uk,2020-04-15 01:29:59,Sitelinks,digital.co.uk 
113,examples of digital media,9.0,60.0,0.02,,,,digital media examples,2020-04-27 11:46:15,"Featured snippet, Thumbnails, People also ask, Top stories",exampl of digit media 
114,marketers or marketeers,3.0,60.0,,,,,marketeer,2020-05-10 01:00:19,"Featured snippet, Thumbnails, People also ask, Top stories",market or market 
115,uses of internet in business,6.0,60.0,2.5,,,,uses of internet in business,2020-04-16 10:34:32,"Featured snippet, Thumbnails, People also ask, Image pack",use of internet in busi 
116,internet marketing bristol,53.0,60.0,0.0,,,,digirank,2020-05-04 04:12:27,Sitelinks,internet market bristol 
117,social media marketing companies london,24.0,60.0,7.0,,,,social media agency,2020-04-19 08:24:12,"Adwords top, Sitelinks, Adwords bottom",social media market compani london 
118,how to find out if a company is still in business,10.0,60.0,,,,,company insolvency register,2020-04-19 22:21:47,People also ask,how to find out if a compani is still in busi 
119,what does entails mean,11.0,60.0,0.0,,,,entail,2020-04-17 23:44:24,"Knowledge card, People also ask",what doe entail mean 
120,lucy online free,2.0,60.0,0.0,,,,watch lucy online free,2020-04-17 19:02:30,"Knowledge card, Top stories, Thumbnails, Adwords bottom, Sitelinks",luci onlin free 
121,internet marketing company uk,48.0,60.0,,,,,digital marketing agency,2020-04-14 14:51:33,"Featured snippet, Thumbnails, Sitelinks",internet market compani uk 
122,understanding digital marketing: marketing strategies for engaging the digital generation,1.0,60.0,,,,,understanding digital marketing,2020-05-10 12:24:50,"Top stories, Thumbnails, Image pack",understand digit market : market strategi for engag the digit gener 
123,creative agency essex,26.0,60.0,2.5,,,,design agency essex,2020-05-09 03:06:27,"Adwords top, Sitelinks, Adwords bottom",creativ agenc essex 
124,hubspor,63.0,60.0,,,,,hubspot,2020-04-20 15:43:26,"Adwords top, Sitelinks, Top stories, Thumbnails, People also ask, Tweet box, Image pack",hubspor 
125,digital media company,50.0,60.0,,,,,dms,2020-04-16 11:46:09,"People also ask, Adwords bottom, Sitelinks",digit media compani 
126,areas of marketing,17.0,60.0,0.0,,,,areas of marketing,2020-05-06 04:55:48,"Featured snippet, People also ask, Sitelinks, Image pack",area of market 
127,digital advertising agency london,47.0,60.0,8.0,,,,digital agency,2020-04-25 09:49:43,"Featured snippet, Thumbnails",digit advertis agenc london 
128,web design company nottingham,43.0,60.0,7.0,,,,web design nottingham,2020-05-05 18:07:19,"Adwords bottom, Sitelinks",web design compani nottingham 
129,coast head office london,5.0,60.0,0.8,,,,coast customer services,2020-04-15 05:26:58,,coast head offic london 
130,digital marketing methods,67.0,60.0,1.6,,,,digital marketing strategy,2020-05-07 23:24:30,"Featured snippet, Thumbnails, People also ask, Image pack",digit market method 
131,بازاریابی,8.0,60.0,,,,,بازاریابی,2020-04-19 20:56:28,Sitelinks,بازاریابی 
132,introduction to digital marketing,51.0,60.0,7.0,,,,google certification,2020-04-18 10:47:53,"Featured snippet, Top stories, Thumbnails, Sitelinks, People also ask",introduct to digit market 
133,like who what what what where,0.0,60.0,,,,,who and what and where song,2020-05-03 16:48:26,"Top stories, Thumbnails, Videos",like who what what what where 
